No.,Brand Code,Brand Name,MISUMI Part No.,Product Name,Quantity,Unit Price,Amount
1,MSM1,MISUMI,AATFW16-XL037-5,FLANGED IDLER,1,28.28,28.28
2,MSM1,MISUMI,SCTW4,SET COLLAR WITH SETSCREW,2,3.41,6.82
3,MSM1,MISUMI,SCBL4-12,CAP SCREWS,10,2.55,25.5
4,MSM1,MISUMI,SLBMFN4-72,ROD END COUPLING RODS,2,8.48,16.96
5,MSM1,MISUMI,MSSK5-4,SET SCREWS DIMPLE,10,0.55,5.5
6,MSM1,MISUMI,FL6900ZZ,BALL BEARING,3,10.35,31.05
7,MSM1,MISUMI,SCBNJ10-14,SET COLLAR,1,8.47,8.47
8,MSM1,MISUMI,SSFHR10-132,ROTARY SHAFT,1,15.86,15.86
9,MSM1,MISUMI,CLBU10-14-4,COLLAR,1,12.2,12.2
10,MSM1,MISUMI,LBMBF4-86,ROD END COUPLING RODS,2,4.85,9.7
11,MSM1,MISUMI,ATP16XL037-B-PUC,STANDARD PULLEY,1,15.4,15.4
12,MSM1,MISUMI,ATP16XL037-A-P10,TIMING PULLEYS XL TYPE,1,13.86,13.86
13,MSM1,MISUMI,ATP48XL037-A-P10,STANDARD PULL,1,21.98,21.98
14,MSM1,MISUMI,TBN122XL037,Timing Belts,1,5,5
15,MSM1,MISUMI,TBN148XL037,Timing Belts,1,5.2,5.2
16,MSM1,MISUMI,LBMBF4-58,ROD END COUPLING RODS,2,4.85,9.7
17,MSM1,MISUMI,SCBL4-12,CAP SCREWS,4,4.18,16.72
18,MSM1,MISUMI,SCB6-35,HEX SOCKET BUTTON HEAD SCREW,3,0.53,1.59
19,MSM1,MISUMI,SCST25-15,Shaft Collars,1,10.23,10.23
20,MSM1,MISUMI,TBN158XL037,Timing Belts,1,5.9,5.9
21,MSM1,MISUMI,TBN99MXL025,TIMING BELT,1,3.2,3.2
22,MSM1,MISUMI,TBN100MXL037,Timing Belts,1,4.2,4.2
23,MSM1,MISUMI,TBN110MXL037,Timing Belts,1,4.2,4.2
24,MSM1,MISUMI,ATP72MXL037-B-P8,STANDARD PULL,1,37.11,37.11
25,MSM1,MISUMI,TBN115MXL037,Timing Belts,1,4.2,4.2
26,MSM1,MISUMI,ATP28MXL037-B-P8,STANDARD PULL,1,18.34,18.34
27,MSM1,MISUMI,SSFHR8-118,ROTARY SHAFT,1,15.86,15.86
28,MSM1,MISUMI,CLBP8-11-4,COLLAR,1,11.04,11.04
29,MSM1,MISUMI,SCBRJ8-12,SET COLLAR,1,4.18,4.18
30,MSM1,MISUMI,FL688ZZ,BALL BEARING,2,6.9,13.8
31,MSM1,MISUMI,ATP72MXL037-B-P10,STANDARD PULL,1,37.11,37.11
32,MSM1,MISUMI,CLBU10-14-2.5,COLLAR,2,12.2,24.4
33,MSM1,MISUMI,SSFHR10-110,ROTARY SHAFT,1,15.86,15.86
34,MSM1,MISUMI,SCSNAW10-14,SET COLLAR,2,9.46,18.92
35,MSM1,MISUMI,SCB5-14,BOLT,6,0.3,1.8
36,MSM1,MISUMI,SCST10-8,SET COLLAR,2,5.72,11.44
37,MSM1,MISUMI,ATP16MXL037-K-P5,STANDARD PULL,1,15.12,15.12
38,MSM1,MISUMI,FL6900ZZ,BALL BEARING,2,10.35,20.7
39,MSM1,MISUMI,SCBL4-12,CAP SCREWS,2,4.18,8.36
40,MSM1,MISUMI,SCB4-12,Hex S.H.C.S. for Al. Frames,2,0.36,0.72
41,MSM1,MISUMI,SLBMFN4-72,ROD END COUPLING RODS,2,8.48,16.96
42,MSM1,MISUMI,SCB3-10,BOLT,4,0.3,1.2
43,MSM1,MISUMI,ATP36XL037-A-P15,STANDARD PULL,1,16.74,16.74
44,MSM1,MISUMI,SCB6-20,BOLT,6,0.36,2.16
45,MSM1,MISUMI,SCST15-15,SET COLLAR,2,7.92,15.84
46,MSM1,MISUMI,SCB5-14,BOLT,8,0.3,2.4
